column,dtype,missing_count,missing_ratio
id,int64,0,0.0
job_title,str,0,0.0
company_name,str,0,0.0
salary,str,0,0.0
location,str,0,0.0
job_type,str,0,0.0
job_industry,str,0,0.0
experience_level,str,0,0.0
education_level,str,0,0.0
job_position,str,0,0.0
job_description,str,0,0.0
benefits,str,0,0.0
requirements,str,0,0.0
year,int64,0,0.0
salary_available,int64,0,0.0
salary_min_million_vnd,float64,10041,0.018383712627473955
salary_max_million_vnd,float64,10041,0.018383712627473955
salary_avg_million_vnd,float64,10041,0.018383712627473955
salary_currency,str,0,0.0
salary_parse_issue,int64,0,0.0
job_title_char_len,int64,0,0.0
job_title_word_count,int64,0,0.0
job_description_char_len,int64,0,0.0
job_description_word_count,int64,0,0.0
requirements_char_len,int64,0,0.0
requirements_word_count,int64,0,0.0
benefits_char_len,int64,0,0.0
benefits_word_count,int64,0,0.0
