column,count,mean,std,min,25%,50%,75%,max
salary_min_million_vnd,536149.0,10.474392828359282,25.438571217482682,0.0,7.0,9.0,11.0,1500.0
salary_max_million_vnd,536149.0,19.13232691846483,85.93635472337289,0.0,10.0,15.0,20.0,5000.0
salary_avg_million_vnd,536149.0,14.803359873412056,54.80282535624007,0.0,9.0,12.0,15.0,3000.0
salary_parse_issue,546190.0,0.014075687947417564,0.11780317637573016,0.0,0.0,0.0,0.0,1.0
job_title_char_len,546190.0,35.885338435343016,18.97945643539293,0.0,21.0,32.0,46.0,255.0
job_title_word_count,546190.0,7.747851480254124,4.151319074459236,0.0,4.0,7.0,10.0,55.0
job_description_char_len,546190.0,599.173333455391,488.80171648607114,0.0,301.0,476.0,741.0,29048.0
job_description_word_count,546190.0,129.6826855123675,101.77195668603238,0.0,66.0,104.0,161.0,4169.0
requirements_char_len,546190.0,323.1025668723338,229.52787791953983,0.0,172.0,281.0,418.0,6630.0
requirements_word_count,546190.0,69.43643420787637,48.0287847172433,0.0,38.0,61.0,90.0,1213.0
benefits_char_len,546190.0,376.60690235998464,248.89106464030078,0.0,216.0,323.0,468.0,32875.0
benefits_word_count,546190.0,80.7697687617862,52.511590751356884,0.0,46.0,69.0,100.0,1345.0
year,546190.0,2023.8380362145042,1.2215953313553145,2022.0,2023.0,2024.0,2025.0,2026.0
