salary,salary_available,salary_min_million_vnd,salary_max_million_vnd,salary_avg_million_vnd,salary_currency,salary_parse_issue
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
50.000.000 - 0 VND,1,0.0,50.0,25.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
1000 nghìn/tuần,1,1000.0,1000.0,1000.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
1000 - 4000 nghìn/tuần,1,1000.0,4000.0,2500.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
1000 - 4000 nghìn/tuần,1,1000.0,4000.0,2500.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
500.000.000 - 900.000.000 VND,1,500.0,900.0,700.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
50.000.000 - 0 VND,1,0.0,50.0,25.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
1000 - 4000 nghìn/tuần,1,1000.0,4000.0,2500.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
50.000.000 - 500.000.000 VND,1,50.0,500.0,275.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
50.000.000 - 0 VND,1,0.0,50.0,25.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 - 3.000.000 VND,1,0.0,3.0,1.5,VND,1
50.000.000 - 0 VND,1,0.0,50.0,25.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
50.000.000 - 0 VND,1,0.0,50.0,25.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
50.000.000 - 0 VND,1,0.0,50.0,25.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
50.000.000 - 500.000.000 VND,1,50.0,500.0,275.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
0 VND,1,0.0,0.0,0.0,VND,1
