salary,salary_available,salary_min_million_vnd,salary_max_million_vnd,salary_avg_million_vnd,salary_currency,salary_parse_issue
10.000.000 - 20.000.000 VND,1,10.0,20.0,15.0,VND,0
15.000.000 - 35.000.000 VND,1,15.0,35.0,25.0,VND,0
Đang cập nhật,0,,,,Unknown,0
18.000.000 - 25.000.000 VND,1,18.0,25.0,21.5,VND,0
10.000.000 - 16.000.000 VND,1,10.0,16.0,13.0,VND,0
12.000.000 - 18.000.000 VND,1,12.0,18.0,15.0,VND,0
8.000.000 - 20.000.000 VND,1,8.0,20.0,14.0,VND,0
3.000.000 - 5.000.000 VND,1,3.0,5.0,4.0,VND,0
12.000.000 - 15.000.000 VND,1,12.0,15.0,13.5,VND,0
7.000.000 - 10.000.000 VND,1,7.0,10.0,8.5,VND,0
15.000.000 - 30.000.000 VND,1,15.0,30.0,22.5,VND,0
8.000.000 - 12.000.000 VND,1,8.0,12.0,10.0,VND,0
10.000.000 - 11.000.000 VND,1,10.0,11.0,10.5,VND,0
8.000.000 - 10.000.000 VND,1,8.0,10.0,9.0,VND,0
Đang cập nhật,0,,,,Unknown,0
6.000.000 - 10.000.000 VND,1,6.0,10.0,8.0,VND,0
10.000.000 - 15.000.000 VND,1,10.0,15.0,12.5,VND,0
15.000.000 - 30.000.000 VND,1,15.0,30.0,22.5,VND,0
8.000.000 - 18.000.000 VND,1,8.0,18.0,13.0,VND,0
VND MONTH,0,,,,Unknown,0
12.000.000 - 17.000.000 VND,1,12.0,17.0,14.5,VND,0
10.000.000 - 15.000.000 VND,1,10.0,15.0,12.5,VND,0
20.000.000 - 25.000.000 VND,1,20.0,25.0,22.5,VND,0
7000000 - 10000000 VND MONTH,1,7.0,10.0,8.5,VND,0
Thỏa thuận,0,,,,Unknown,0
15.000.000 - 20.000.000 VND,1,15.0,20.0,17.5,VND,0
10.000.000 - 20.000.000 VND,1,10.0,20.0,15.0,VND,0
9.000.000 - 15.000.000 VND,1,9.0,15.0,12.0,VND,0
10.000.000 - 15.000.000 VND,1,10.0,15.0,12.5,VND,0
7.000.000 - 10.000.000 VND,1,7.0,10.0,8.5,VND,0
12.000.000 - 20.000.000 VND,1,12.0,20.0,16.0,VND,0
15.000.000 - 16.000.000 VND,1,15.0,16.0,15.5,VND,0
9 triệu - 17 triệu,1,9.0,17.0,13.0,VND,0
10.000.000 - 12.000.000 VND,1,10.0,12.0,11.0,VND,0
8.000.000 - 25.000.000 VND,1,8.0,25.0,16.5,VND,0
6.000.000 - 15.000.000 VND,1,6.0,15.0,10.5,VND,0
13.000.000 - 15.000.000 VND,1,13.0,15.0,14.0,VND,0
8000000 - 10000000 VND MONTH,1,8.0,10.0,9.0,VND,0
8.000.000 - 15.000.000 VND,1,8.0,15.0,11.5,VND,0
7.000.000 - 14.000.000 VND,1,7.0,14.0,10.5,VND,0
8.000.000 - 11.000.000 VND,1,8.0,11.0,9.5,VND,0
15.000.000 - 30.000.000 VND,1,15.0,30.0,22.5,VND,0
10.000.000 - 15.000.000 VND,1,10.0,15.0,12.5,VND,0
9.000.000 - 15.000.000 VND,1,9.0,15.0,12.0,VND,0
10.000.000 - 15.000.000 VND,1,10.0,15.0,12.5,VND,0
