company_name,count,ratio
Công Ty Tài Chính TNHH Hd Saison,11055,0.020240209450923672
Công Ty Cổ Phần Bellsystem24 Việt Nam,3516,0.006437320346399604
Công Ty Cổ Phần Viễn Thông Fpt,3093,0.0056628645709368534
Công Ty Cổ Phần Vacxin Việt Nam,2678,0.00490305571321335
Công Ty TNHH Vietnam Concentrix Services,2284,0.004181695014555374
Công Ty TNHH Yakult Việt Nam,2085,0.0038173529357915744
Hệ Thống Anh Ngữ Quốc Tế Ocean Edu - Công Ty Cổ Phần Giải Pháp Giáo Dục Hưng Yên,2005,0.003670883758399092
Công Ty TNHH Dịch Vụ Tài Nguyên Nhân Sự Yi Qi Ying,1890,0.0034603343158973983
Công Ty Cổ Phần BPO Mắt Bão,1826,0.0033431589739834123
Công Ty Cổ Phần Dịch Vụ Thương Mại Tổng Hợp Wincommerce,1627,0.0029788168952196124
Công Ty TNHH SPX Express,1564,0.002863472418023032
Công Ty Cổ Phần Truyền Thông Kim Cương,1539,0.0028177008000878816
Hệ Thống Anh Ngữ Quốc Tế Ocean Edu,1526,0.0027938995587616033
Công Ty Tài Chính Trách Nhiệm Hữu Hạn Một Thành Viên Home Credit Việt Nam,1388,0.002541240227759571
Công Ty Cổ Phần Maison Retail Management International,1234,0.002259287061279042
Công Ty Cổ Phần Vinhomes,1143,0.0020926783719950933
"Khối Bán Lẻ Thực Phẩm (Go!, Tops Market, Go!) - Công Ty TNHH Dịch Vụ EB",1128,0.0020652154012340026
Công Ty TNHH Transcosmos Việt Nam,1035,0.0018949449825152419
Công ty TNHH Manpower Việt Nam,920,0.0016843955400135484
Công Ty Cổ Phần Quốc Tế Anh Văn Hội Việt Mỹ,884,0.0016184844101869312
Công Ty TNHH Jollibee Việt Nam,826,0.0015122942565773815
Công Ty Cổ Phần Green Speed,825,0.0015104633918599755
Công Ty TNHH Tập Đoàn Rita Võ,810,0.001483000421098885
Công Ty Tài Chính TNHH MTV Quốc Tế Việt Nam Jaccs,791,0.0014482139914681704
Cty Tài Chính TNHH MTV Mirae Asset (Việt Nam),770,0.0014097658324026437
Công Ty TNHH Callus,714,0.001307237408227906
Công Ty Cổ Phần Dayone Asia,650,0.00119006206631392
