experience_level,count,ratio
3 năm,158294,0.28981489957707024
1 năm,145299,0.2660228125743789
2 năm,83977,0.15375052637360626
4 năm,75129,0.13755103535399768
5 năm,35490,0.06497738882074004
Không,17481,0.032005346124974826
7 năm,9255,0.016944652959592816
Dưới 1 năm,6314,0.011560079825701678
8 năm,3384,0.006195646203702008
6 năm,2676,0.004899393983778539
0 - 1 năm kinh nghiệm,2245,0.00411029129057654
1 - 2 năm kinh nghiệm,1308,0.0023947710503670885
2 - 5 năm kinh nghiệm,848,0.0015525732803603142
3 - 5 Năm,393,0.0007195298339405701
Yêu cầu ứng viên có kinh nghiệm,287,0.0005254581738955308
2 - 3 Năm,255,0.00046687050293853786
Trên 3 năm,255,0.00046687050293853786
9 năm,254,0.00046503963822113186
Hơn 5 năm,225,0.00041194456141635695
1 - 2 Năm,211,0.0003863124553726725
2 - 5 Năm,199,0.00036434207876380014
Trên 1 Năm,192,0.00035152602574195794
1 - 3 Năm,189,0.00034603343158973984
Trên 2 Năm,164,0.0003002618136545891
Trên 3 Năm,161,0.000294769219502371
5 - 10 năm kinh nghiệm,135,0.0002471667368498142
Trên 5 Năm,104,0.0001904099306102272
1-2 năm,96,0.00017576301287097897
2-3 năm,94,0.0001721012834361669
5 - 10 Năm,77,0.00014097658324026437
5 - 7 Năm,74,0.0001354839890880463
1 - 5 Năm,74,0.0001354839890880463
2 - 4 Năm,59,0.00010802101832695583
1 - 2 năm,52,9.52049653051136e-05
Lên đến 1 Năm,48,8.788150643548949e-05
"0,5 năm",42,7.68963181310533e-05
3 - 10 Năm,42,7.68963181310533e-05
3 - 4 Năm,32,5.858767095699299e-05
4 - 5 Năm,32,5.858767095699299e-05
2 - 3 năm,32,5.858767095699299e-05
3-5 năm,31,5.675680623958696e-05
1 - 3 năm,24,4.394075321774474e-05
3 - 5 năm,24,4.394075321774474e-05
Trên 4 Năm,24,4.394075321774474e-05
Trên 1 năm,24,4.394075321774474e-05
4 - 6 Năm,23,4.210988850033871e-05
5 - 8 Năm,20,3.661729434812062e-05
4 - 10 Năm,19,3.4786429630714585e-05
5 - 15 Năm,18,3.2955564913308554e-05
Trên 5 năm,18,3.2955564913308554e-05
3 - 7 Năm,18,3.2955564913308554e-05
10 - 15 Năm,17,3.112470019590252e-05
7 - 10 Năm,17,3.112470019590252e-05
2 - 10 Năm,16,2.9293835478496494e-05
1 - 10 Năm,16,2.9293835478496494e-05
8 - 10 Năm,15,2.7462970761090463e-05
2 - 5 năm,14,2.563210604368443e-05
1-3 năm,14,2.563210604368443e-05
3 - 6 Năm,14,2.563210604368443e-05
Lên đến 3 Năm,14,2.563210604368443e-05
2 - 7 Năm,13,2.38012413262784e-05
4 - 7 Năm,13,2.38012413262784e-05
5 - 6 Năm,13,2.38012413262784e-05
Trên 10 Năm,12,2.197037660887237e-05
Lên đến 2 Năm,12,2.197037660887237e-05
2 - 15 Năm,10,1.830864717406031e-05
Trên 2 năm,10,1.830864717406031e-05
4 - 8 Năm,9,1.6477782456654277e-05
3 - 8 Năm,9,1.6477782456654277e-05
< 1 năm,9,1.6477782456654277e-05
10 năm,8,1.4646917739248247e-05
Hơn 10 năm kinh nghiệm,8,1.4646917739248247e-05
"0,5 - 1 năm",7,1.2816053021842216e-05
5 - 20 năm,7,1.2816053021842216e-05
1 - 4 Năm,7,1.2816053021842216e-05
Trên 7 Năm,7,1.2816053021842216e-05
Từ 0 - 1 năm,7,1.2816053021842216e-05
2 - 8 Năm,7,1.2816053021842216e-05
Trên 10 năm,6,1.0985188304436186e-05
Lên đến 5 Năm,6,1.0985188304436186e-05
6 - 8 Năm,6,1.0985188304436186e-05
6 - 10 Năm,5,9.154323587030154e-06
Từ 1 - 2 năm,5,9.154323587030154e-06
3 - 15 Năm,5,9.154323587030154e-06
7 - 15 Năm,4,7.3234588696241236e-06
2 - 4 năm,4,7.3234588696241236e-06
1 - 6 Năm,4,7.3234588696241236e-06
5 - 7 năm,4,7.3234588696241236e-06
3-4 năm,3,5.492594152218093e-06
1 - 8 Năm,3,5.492594152218093e-06
5 - 6 năm,3,5.492594152218093e-06
Trên 6 Năm,3,5.492594152218093e-06
10 - 11 Năm,3,5.492594152218093e-06
5 - 10 năm,3,5.492594152218093e-06
1 - 7 Năm,3,5.492594152218093e-06
5 - 9 Năm,3,5.492594152218093e-06
Trên 8 Năm,3,5.492594152218093e-06
3 - 12 Năm,3,5.492594152218093e-06
Từ 2 - 3 năm,3,5.492594152218093e-06
Từ 0 - 2 năm,3,5.492594152218093e-06
