job_position,count,ratio
Nhân viên,420014,0.7689888134165767
Chưa cập nhật,43147,0.07899631996191801
Trưởng nhóm,25839,0.047307713433054434
Trưởng phòng,17267,0.03161354107544993
Cộng tác viên,12212,0.02235851992896245
Nhân Viên,10818,0.01980629451289844
Giám đốc,8817,0.016142734213368974
Chuyên gia,3113,0.005699481865284974
Thực Tập Sinh,493,0.0009026163056811733
Trưởng Nhóm,414,0.0007579779930060968
Unknown,404,0.0007396693458320365
Quản Lý,340,0.0006224940039180505
Trưởng Nhóm / Giám Sát,336,0.0006151705450484264
Thực tập sinh,297,0.0005437668210695912
Sinh Viên/ Thực Tập Sinh,263,0.0004815174206777861
Kỹ thuật viên / Kỹ sư,214,0.0003918050495248906
Trưởng nhóm / Giám sát,208,0.0003808198612204544
Quản lý / Trưởng phòng,195,0.00035701861989417605
Mới đi làm,161,0.000294769219502371
Quản Lý / Giám Sát,161,0.000294769219502371
Kỹ Sư,155,0.0002837840311979348
Trưởng/Phó Phòng,151,0.0002764605723283107
Quản lý,143,0.00026181365458906243
Nhân Viên/ Chuyên Viên,124,0.00022702722495834783
"Giám Đốc, Phó Giám Đốc Bộ Phận/ Trưởng Phòng/ Tổ Trưởng",109,0.00019956425419725738
Mới Tốt Nghiệp,107,0.0001959025247624453
Sinh viên / Thực tập sinh,94,0.0001721012834361669
Senior,94,0.0001721012834361669
Trưởng Phòng,75,0.00013731485380545232
Trưởng Ca/ Giám Sát,59,0.00010802101832695583
"Trợ Lý, Thư Ký",41,7.506545341364727e-05
Outlet Manager,40,7.323458869624123e-05
Quản Đốc/ Giám Sát/ Tổ Trưởng,37,6.774199454402315e-05
Giám Đốc,34,6.224940039180504e-05
Học Việc/ Thực Tập,15,2.7462970761090463e-05
Mới Tốt Nghiệp / Thực Tập Sinh,14,2.563210604368443e-05
Tổng Giám Đốc/ Ptgđ/ Giám Đốc/ Pgđ,14,2.563210604368443e-05
Trưởng Ca,14,2.563210604368443e-05
Thực Tập Sinh/Sinh Viên,12,2.197037660887237e-05
Trưởng/Phó phòng,12,2.197037660887237e-05
Trung Cấp Chuyên Nghiệp,12,2.197037660887237e-05
Trợ Lý/ Thư Ký,10,1.830864717406031e-05
Lãnh đạo,10,1.830864717406031e-05
Giám Đốc Và Cấp Cao Hơn,9,1.6477782456654277e-05
Trưởng Nhóm/ Giám Sát,8,1.4646917739248247e-05
Giám Đốc/ Trưởng Bp,8,1.4646917739248247e-05
Trung Cấp Nghề,6,1.0985188304436186e-05
Khác,5,9.154323587030154e-06
Phó Giám Đốc,5,9.154323587030154e-06
05/12 (Hết Tiểu Học),5,9.154323587030154e-06
Loại Hình: Toàn Thời Gian,5,9.154323587030154e-06
Tốt Nghiệp Thcs,5,9.154323587030154e-06
Loại Hợp Đồng:,4,7.3234588696241236e-06
09/12 (Hết Thcs),4,7.3234588696241236e-06
Fresher,3,5.492594152218093e-06
Junior,3,5.492594152218093e-06
Tốt Nghiệp Đại Học,3,5.492594152218093e-06
Trưởng Chi Nhánh,3,5.492594152218093e-06
Đào Tạo Viên,3,5.492594152218093e-06
Công Nhân,2,3.6617294348120618e-06
Chuyên viên,2,3.6617294348120618e-06
Điều Hành Cấp Cao,2,3.6617294348120618e-06
Nhân Viên Tập Sự,2,3.6617294348120618e-06
Quản lý cấp cao,2,3.6617294348120618e-06
Lao Động Kỹ Thuật,2,3.6617294348120618e-06
Chuyên Gia,2,3.6617294348120618e-06
Chuyên Viên- Nhân Viên,2,3.6617294348120618e-06
Phó giám đốc,1,1.8308647174060309e-06
Chuyên Viên,1,1.8308647174060309e-06
Tổng Giám Đốc,1,1.8308647174060309e-06
Trưởng Nhóm/Giám Sát,1,1.8308647174060309e-06
Lao động phổ thông,1,1.8308647174060309e-06
Tốt Nghiệp Thpt,1,1.8308647174060309e-06
