job_type,count,ratio
Toàn thời gian,503335,0.9215382925355645
Thực tập,15596,0.028554166132664458
Khác,8319,0.015230963584100771
Bán thời gian,6496,0.011893297204269576
Remote,5271,0.009650487925447189
Thời vụ,2901,0.005311338545194896
Chưa xác định,2756,0.005045863161171021
Không,693,0.0012687892491623793
Hợp đồng,508,0.0009300792764422637
Theo ca,181,0.0003313865138504916
"Toàn thời gian, Bán thời gian",46,8.421977700067742e-05
Freelance,37,6.774199454402315e-05
"Toàn thời gian, Thực tập",33,6.041853567439902e-05
"Toàn thời gian, Thời vụ",6,1.0985188304436186e-05
"Toàn thời gian, Bán thời gian, Remote",3,5.492594152218093e-06
"Toàn thời gian, Remote",2,3.6617294348120618e-06
"Bán thời gian, Remote",2,3.6617294348120618e-06
"Bán thời gian, Thực tập",2,3.6617294348120618e-06
"Toàn thời gian, Bán thời gian, Thời vụ",1,1.8308647174060309e-06
"Remote, Thực tập",1,1.8308647174060309e-06
"Toàn thời gian, Bán thời gian, Thời vụ, Thực tập",1,1.8308647174060309e-06
