location,count,ratio
"Tầng 8, tầng 9, tầng 10 tòa nhà số 24C đường Phan Đăng Lưu, Phường Gia Định, TP Hồ Chí Minh, Việt Nam",5861,0.010730698108716748
Hồ Chí Minh,5627,0.010302275764843735
Hà Nội,4879,0.008932788956224024
198 Hoàng Văn Thụ Phường 9 Phú Nhuận,1486,0.002720664970065362
"15, Lê Thánh Tôn, Phường Bến Nghé, Quận 1",963,0.0017631227228620077
"Số 601 đường Nguyễn Văn Linh, Phường An Tảo, Thành phố Hưng Yên, Tỉnh Hưng Yên, Việt Nam",890,0.0016294695984913675
"Tầng G, 8 và 10 Tòa nhà Phụ Nữ, số 20 Nguyễn Đăng Giai, Phường Thảo Điền, Thành phố Thủ Đức, TP Hồ Chí Minh",816,0.0014939856094033212
Cụm công nghiệp Lai Xá - Xã Kim Chung - Huyện Hoài Đức - Thành phố Hà Nội,808,0.001479338691664073
"12A Đường Núi Thành, Phường 13 | 12A Đường Núi Thành, Phường 13, Quận Tân Bình, TP. HCM, Việt Nam",777,0.001422581885424486
"Tất cả các huyện | Tầng 8, tầng 9, tầng 10 tòa nhà số 24C đường Phan Đăng Lưu, Phường Gia Định, TP Hồ Chí Minh, Việt Nam",741,0.001356670755597869
"Tầng 5, Mplaza SaiGon, số 39 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",694,0.0012706201138797855
"Tầng 5 tòa nhà unique, 91B2 Phạm Văn Hai, Phường 3, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",680,0.001244988007836101
"Sailing Tower, 111A Pasteur, Ben Nghe Ward, District 1",609,0.001114996612900273
"Toàn khu vực Hồ Chí Minh | Số 5 Đại lộ Tự Do, khu công nghiệp Việt Nam-Singapore, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",580,0.001061901536095498
..... | 198 Hoàng Văn Thụ Phường 9 Phú Nhuận,557,0.0010197916475951593
"Tầng 15, Tòa nhà Centec, 72 -74 Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3, Thành Phố Hồ Chí Minh, Việt Nam",518,0.000948387923616324
