location_city,count,ratio
TP Hồ Chí Minh,248674,0.4552884527362273
Hà Nội,133662,0.2447170398579249
Khác/Không rõ,46156,0.08450539189659276
Bình Dương,26206,0.04797964078434244
Đồng Nai,11154,0.02042146505794687
Đà Nẵng,8857,0.016215968802065217
Long An,7764,0.014214833665940424
Bắc Ninh,5100,0.009337410058770758
Hưng Yên,4949,0.009060949486442448
Hải Phòng,4861,0.008899833391310716
Cần Thơ,3117,0.005706805324154598
Tây Ninh,3098,0.005672018894523884
Thanh Hóa,3057,0.005596953441110236
Bà Rịa - Vũng Tàu,2817,0.005157545908932789
Bình Phước,2595,0.00475109394166865
Điện Biên,2115,0.0038722788773137553
Khánh Hòa,1960,0.0035884948461158204
Hải Dương,1740,0.003185704608286494
Bắc Giang,1591,0.002912905765392995
Nghệ An,1585,0.002901920577088559
Vĩnh Phúc,1503,0.0027517896702612646
Đắk Lắk,1320,0.0024167414269759607
Lâm Đồng,1171,0.0021439425840824623
Thái Bình,1147,0.0021000018308647175
Bình Thuận,1122,0.0020542302129295665
Phú Thọ,1075,0.001968179571211483
Quảng Nam,1042,0.0019077610355370841
Hà Nam,1018,0.0018638202823193393
Quảng Ninh,993,0.0018180486643841886
Bình Định,957,0.0017521375345575716
Bến Tre,951,0.0017411523462531353
Ninh Bình,919,0.0016825646752961425
Kiên Giang,906,0.001658763433969864
Hòa Bình,890,0.0016294695984913675
Tiền Giang,852,0.0015598967392299384
Huế,849,0.0015544041450777201
Gia Lai,791,0.0014482139914681704
Thái Nguyên,685,0.001254142331423131
Kon Tum,667,0.0012211867665098226
Vĩnh Long,666,0.0012193559017924167
An Giang,649,0.001188231201596514
Đồng Tháp,640,0.0011717534191398597
Nam Định,586,0.001072886724399934
Quảng Ngãi,580,0.001061901536095498
Hậu Giang,402,0.0007360076163972244
Hà Tĩnh,307,0.0005620754682436515
Phú Yên,276,0.0005053186620040646
Ninh Thuận,215,0.00039363591424229665
Quảng Trị,191,0.0003496951610245519
Yên Bái,190,0.00034786429630714584
Lào Cai,185,0.0003387099727201157
Trà Vinh,175,0.0003204013255460554
Cà Mau,170,0.00031124700195902524
Sóc Trăng,167,0.00030575440780680714
Bạc Liêu,151,0.0002764605723283107
Quảng Bình,143,0.00026181365458906243
Tuyên Quang,125,0.00022885808967575385
Lạng Sơn,122,0.00022336549552353578
Đắk Nông,86,0.00015745436569691864
Sơn La,71,0.0001299913949358282
Hà Giang,54,9.886669473992566e-05
Lai Châu,49,8.971237115289551e-05
Cao Bằng,45,8.238891228327138e-05
Bắc Kạn,29,5.3095076804774894e-05
