cluster_id,số tin,tỷ lệ (%),lương min/max trung vị,KN min/max trung vị,top ngành,top chức danh,top học vấn,top hình thức,top địa điểm,từ khóa nổi bật
0,9771,1.8647943019856024,9.0 - 15.0 triệu,3.0 - 3.0 năm,Thực phẩm - Đồ uống / Công nghệ thực phẩm - Dinh dưỡng (100.0%),"nhân viên kinh doanh (2.2%), nhân viên bán hàng (1.3%), nhân viên qc (0.9%), nhân viên kinh doanh thị trường (0.6%)","Không (46.8%), Cao đẳng (19.5%), Trung cấp (13.6%)","Toàn thời gian (92.0%), Khác (3.0%), Thực tập (2.8%)","Hồ Chí Minh (66.5%), Hà Nội (12.8%), Bình Dương (5.9%)","khách, sản, khách hàng, phẩm, lý, quản, quản lý, bán, doanh, động"
1,50957,9.725137984472452,9.0 - 15.0 triệu,2.0 - 2.0 năm,"Bán hàng - Kinh doanh (99.9%), Bán sỉ - Bán lẻ - Quản lý cửa hàng (0.0%), Khách sạn - Nhà hàng - Du lịch / Bán sỉ - Bán lẻ - Quản lý cửa hàng (0.0%), Xây dựng (0.0%)","nhân viên kinh doanh (13.0%), nhân viên bán hàng (2.4%), nhân viên kinh doanh thị trường (1.7%), trưởng phòng kinh doanh (1.0%)","Không (35.2%), Cao đẳng (24.5%), Trung cấp (20.6%)","Toàn thời gian (94.1%), Thực tập (2.6%), Khác (1.5%)","Hồ Chí Minh (51.5%), Hà Nội (27.4%), Bình Dương (3.3%)","khách hàng, doanh, bán, động, lý, bán hàng, lương, sản, phẩm, thưởng"
2,13080,2.4963165970700723,9.0 - 15.0 triệu,3.0 - 3.0 năm,"Dược phẩm / Y tế - Chăm sóc sức khỏe (98.3%), Y tế - Chăm sóc sức khỏe (0.4%), Chăm sóc khách hàng (0.3%), Chăm sóc sức khỏe / Y tế (0.1%)","nhân viên kinh doanh (2.4%), trình dược viên (1.3%), trình dược viên otc (0.9%), điều dưỡng viên (0.9%)","Trung cấp (31.8%), Không (29.5%), Cao đẳng (20.8%)","Toàn thời gian (97.6%), Khác (0.9%), Thực tập (0.8%)","Hồ Chí Minh (57.7%), Hà Nội (21.0%), Long An (2.5%)","hàng, khách, khách hàng, phẩm, doanh, định, sản, bán, dược, sản phẩm"
3,14804,2.8253418121579017,9.0 - 15.0 triệu,1.0 - 1.0 năm,"IT phần mềm (11.5%), Nhân viên kinh doanh (10.5%), Marketing - PR (6.4%), Tư vấn/ Chăm sóc khách hàng (5.3%)","kế toán tổng hợp (0.5%), kỹ sư tự động hóa (0.4%), kiến trúc sư (0.3%), devops engineer (0.3%)","Không (52.6%), Đại học (25.6%), Cao đẳng (13.1%)","Toàn thời gian (84.7%), Thực tập (4.0%), Không (3.9%)","Hồ Chí Minh (46.5%), Hà Nội (31.7%), Đà Nẵng (2.6%)","and, hàng, to, in, the, khách, lý, kế, khách hàng, kỹ"
4,21895,4.178658401593979,9.0 - 15.0 triệu,3.0 - 3.0 năm,Chưa xác định (100.0%),"nhân viên kinh doanh (3.6%), nhân viên bảo vệ (1.1%), nhân viên marketing (0.9%), nhân viên content marketing (0.6%)","Không (40.6%), Cao đẳng (23.6%), Trung cấp (15.7%)","Toàn thời gian (95.6%), Thực tập (1.7%), Khác (1.4%)","Hồ Chí Minh (49.1%), Hà Nội (28.0%), Bình Dương (3.8%)","hàng, khách, khách hàng, sản, doanh, động, nghiệp, lý, lương, định"
5,13219,2.5228447321612606,9.0 - 15.0 triệu,3.0 - 3.0 năm,"Giáo dục - Đào tạo / Chăm sóc khách hàng (92.8%), Giáo dục - Đào tạo / Biên phiên dịch (4.2%), Thông tin - Truyền thông - Quảng cáo (1.0%), Giáo dục - Đào tạo (0.9%)","nhân viên tư vấn tuyển sinh (2.3%), giáo viên mầm non (2.0%), giáo viên tiếng anh (2.0%), nhân viên kinh doanh (1.3%)","Cao đẳng (31.3%), Không (30.6%), Đại học (26.3%)","Toàn thời gian (91.1%), Thực tập (5.0%), Khác (1.9%)","Hồ Chí Minh (51.7%), Hà Nội (26.1%), Thanh Hóa (3.2%)","hàng, giáo, khách, khách hàng, dạy, tạo, vấn, sinh, động, trường"
6,8278,1.5798554121212585,7.0 - 10.0 triệu,2.0 - 2.0 năm,Khách sạn - Nhà hàng - Du lịch (100.0%),"nhân viên phục vụ (4.2%), nhân viên lễ tân (2.3%), quản lý nhà hàng (1.7%), nhân viên kinh doanh (1.4%)","Không (47.0%), Cao đẳng (17.8%), Trung cấp (15.1%)","Toàn thời gian (89.9%), Thực tập (4.5%), Khác (2.7%)","Hồ Chí Minh (55.4%), Hà Nội (23.7%), Đà Nẵng (3.6%)","hàng, khách, vụ, lý, nhà, khách hàng, ca, nhà hàng, quản, lương"
7,138937,26.516111547945307,10.0 - 15.0 triệu,3.0 - 3.0 năm,"Kế toán / Kiểm toán (31.7%), Xây dựng (17.8%), Giáo dục - Đào tạo / Biên phiên dịch (10.3%), Marketing (9.0%)","kế toán tổng hợp (4.2%), nhân viên kế toán (2.6%), kế toán viên (1.7%), kế toán nội bộ (1.6%)","Cao đẳng (34.6%), Đại học (27.8%), Không (24.4%)","Toàn thời gian (99.3%), Bán thời gian (0.3%), Khác (0.2%)","Hồ Chí Minh (49.4%), Hà Nội (28.2%), Bình Dương (4.6%)","toán, kế, hàng, kế toán, định, nghiệp, lý, quy, hợp, động"
8,25122,4.794531005473575,8.0 - 15.0 triệu,2.0 - 2.0 năm,"Nghề nghiệp khác (78.1%), Kiến trúc - Thiết kế nội ngoại thất (19.9%), Xây dựng (1.6%), Thiết kế - Sáng tạo nghệ thuật (0.2%)","nhân viên thiết kế nội thất (1.7%), kiến trúc sư (1.7%), nhân viên kinh doanh (1.5%), nhân viên thiết kế (1.0%)","Không (39.4%), Cao đẳng (16.8%), Trung học (14.4%)","Toàn thời gian (92.4%), Thực tập (3.1%), Bán thời gian (1.8%)","Hồ Chí Minh (62.0%), Hà Nội (20.0%), Bình Dương (3.1%)","hàng, khách, kế, thiết, thiết kế, khách hàng, kỹ, lương, định, động"
9,4209,0.8032871985525945,7.0 - 15.0 triệu,1.0 - 1.0 năm,"Bán hàng - Kinh doanh (13.3%), Chăm sóc khách hàng (10.4%), Nghề nghiệp khác (8.2%), Chưa xác định (7.7%)","nhân viên kinh doanh (6.1%), nhân viên bán hàng (3.0%), nhân viên chăm sóc khách hàng (1.1%), nhân viên kinh doanh thị trường (1.0%)","Không (53.8%), Trung cấp (12.0%), Cao đẳng (11.3%)",Remote (100.0%),"Hồ Chí Minh (50.2%), Hà Nội (22.0%), Khác (5.5%)","hàng, khách, khách hàng, doanh, động, lương, ca, 000, nghiệp, thưởng"
10,14719,2.8091195712748007,8.0 - 12.0 triệu,3.0 - 3.0 năm,"Nhân sự / Hành chính - Thư ký (74.4%), Thực tập sinh / Lao động phổ thông (25.5%), Luật - Pháp Lý - Tuân thủ (0.0%), Hành chính - Thư ký (0.0%)","nhân viên hành chính nhân sự (9.1%), nhân viên tuyển dụng (2.7%), nhân viên nhân sự (2.4%), chuyên viên tuyển dụng (2.4%)","Không (37.1%), Cao đẳng (30.4%), Đại học (20.5%)","Toàn thời gian (86.6%), Thực tập (9.4%), Bán thời gian (1.5%)","Hồ Chí Minh (53.3%), Hà Nội (26.4%), Bình Dương (4.5%)","tuyển, dụng, hàng, tuyển dụng, động, quản, lý, chính, lương, định"
11,95669,18.258418388768867,8.0 - 13.0 triệu,2.0 - 2.0 năm,"Cơ khí - Ô tô - Tự động hóa / Sản xuất - Lắp ráp - Chế biến (20.7%), Lao động phổ thông (18.1%), Khoa học - Kỹ thuật (17.0%), Khách sạn - Nhà hàng - Du lịch / Bán sỉ - Bán lẻ - Quản lý cửa hàng (11.6%)","nhân viên kinh doanh (1.9%), nhân viên bán hàng (1.5%), nhân viên kỹ thuật (1.1%), kỹ sư cơ khí (0.6%)","Không (39.5%), Trung cấp (18.7%), Cao đẳng (18.5%)","Toàn thời gian (90.5%), Khác (2.8%), Thực tập (2.4%)","Hồ Chí Minh (52.8%), Hà Nội (21.8%), Bình Dương (5.8%)","hàng, khách, khách hàng, sản, máy, lương, định, kỹ, động, nghiệp"
12,7911,1.5098135014848122,8.0 - 12.0 triệu,3.0 - 3.0 năm,"Thu mua - Kho Vận - Chuỗi cung ứng (83.0%), Bán hàng - Kinh doanh (2.3%), Chăm sóc khách hàng (1.9%), Kế toán / Kiểm toán (1.6%)","nhân viên kho (5.0%), nhân viên thu mua (4.1%), nhân viên thủ kho (2.4%), nhân viên mua hàng (1.7%)","Không (32.5%), Cao đẳng (26.1%), Trung cấp (20.6%)","Toàn thời gian (97.1%), Bán thời gian (1.1%), Thực tập (0.9%)","Hồ Chí Minh (58.2%), Hà Nội (18.9%), Bình Dương (6.6%)","ng, kho, lý, hóa, quản, xuất, hàng hóa, định, quản lý, giao"
13,74406,14.200377119388058,8.0 - 15.0 triệu,2.0 - 2.0 năm,"Chăm sóc khách hàng (61.5%), Bất động sản (12.2%), Hành chính - Thư ký (10.2%), Ngân hàng / Tài chính - Đầu tư - Chứng Khoán (9.5%)","nhân viên kinh doanh (5.9%), nhân viên chăm sóc khách hàng (2.3%), nhân viên bán hàng (0.8%), nhân viên văn phòng (0.7%)","Không (36.0%), Cao đẳng (20.1%), Trung học (18.3%)","Toàn thời gian (94.2%), Thực tập (2.1%), Bán thời gian (1.6%)","Hồ Chí Minh (61.2%), Hà Nội (24.9%), Bình Dương (2.6%)","doanh, 000, động, vấn, sản, thưởng, nghiệp, lý, tư, bán"
14,4518,0.8622598154099838,8.0 - 15.0 triệu,1.0 - 1.0 năm,"Chăm sóc khách hàng (37.3%), Lao động phổ thông (30.1%), Ngân hàng / Tài chính - Đầu tư - Chứng Khoán (13.7%), Tài chính - Đầu tư - Chứng Khoán (8.9%)","mèo vạc hà giang nhân viên tư vấn trả góp (0.4%), bến cát_bình dương nhân viên tư vấn trả góp (0.3%), quế võ bắc ninh nhân viên tư vấn trả góp (0.3%), thủ dầu một_bình dương nhân viên tư vấn trả góp (0.2%)","Trung học (99.5%), Chứng chỉ (0.2%), Trung cấp (0.2%)",Toàn thời gian (100.0%),"Hồ Chí Minh (98.6%), Hà Nội (0.6%), Khác (0.1%)","chỉ, ngành, thế, dụng kênh, kênh trả, saison môi, cấp khoản, góp bạn, thu thêm, 12 000"
15,13181,2.5155924362370508,9.0 - 15.0 triệu,3.0 - 3.0 năm,Vận hành - Bảo trì - Bảo dưỡng (100.0%),"nhân viên kỹ thuật (2.4%), nhân viên bảo trì (1.5%), nhân viên vận hành máy (0.9%), nhân viên kỹ thuật điện (0.9%)","Không (27.6%), Trung cấp (27.6%), Cao đẳng (23.4%)","Toàn thời gian (97.6%), Khác (1.0%), Bán thời gian (0.9%)","Hồ Chí Minh (49.1%), Hà Nội (21.7%), Bình Dương (8.4%)","máy, hàng, điện, kỹ, định, động, sản, thiết, lý, nghiệp"
16,13296,2.537540173902422,10.0 - 15.0 triệu,3.0 - 3.0 năm,Điện - Điện tử - Điện lạnh / Vận hành - Bảo trì - Bảo dưỡng (100.0%),"nhân viên kỹ thuật điện (2.6%), nhân viên kỹ thuật (2.5%), kỹ sư điện (2.2%), nhân viên kinh doanh (1.6%)","Không (34.1%), Trung cấp (24.6%), Cao đẳng (23.0%)","Toàn thời gian (97.7%), Khác (1.3%), Thực tập (0.6%)","Hồ Chí Minh (46.1%), Hà Nội (29.6%), Bình Dương (5.3%)","hàng, thiết, thuật, kỹ thuật, động, định, máy, hệ, thống, khách"
