location_city,count,ratio
TP Hồ Chí Minh,285382,0.522495834782768
Hà Nội,141002,0.2581555868836852
Bình Dương,25368,0.04644537615115619
Khác/Không rõ,13455,0.024634284772698144
Đồng Nai,10150,0.018583276881671214
Đà Nẵng,8277,0.015154067265969717
Long An,7148,0.013087021000018309
Bắc Ninh,4823,0.008830260532049286
Hải Phòng,4542,0.008315787546458193
Hưng Yên,4451,0.008149178857174243
Cần Thơ,2977,0.005450484263717754
Thanh Hóa,2940,0.0053827422691737304
Tây Ninh,2871,0.0052564126036727145
Bà Rịa - Vũng Tàu,2645,0.004842637177538952
Bình Phước,2271,0.004157893773229096
Khánh Hòa,1873,0.0034292096157014958
Hải Dương,1588,0.002907413171240777
Nghệ An,1361,0.002491806880389608
Vĩnh Phúc,1353,0.0024771599626503596
Đắk Lắk,1292,0.0023654772148885917
Bắc Giang,1246,0.0022812574378879144
Bình Thuận,1088,0.0019919808125377614
Lâm Đồng,1053,0.0019279005474285506
Thái Bình,1038,0.0019004375766674601
Quảng Nam,988,0.0018088943407971584
Hà Nam,944,0.0017283362932312932
Ninh Bình,901,0.0016496091103828337
Bình Định,897,0.0016422856515132098
Bến Tre,893,0.0016349621926435855
Quảng Ninh,883,0.0016166535454695252
Kiên Giang,855,0.0015653893333821564
Tiền Giang,830,0.0015196177154470057
Phú Thọ,718,0.0013145608670975303
Huế,668,0.0012230176312272285
Hòa Bình,657,0.0012028781193357623
An Giang,626,0.0011461213130961752
Thái Nguyên,595,0.0010893645068565884
Vĩnh Long,595,0.0010893645068565884
Đồng Tháp,582,0.00106556326553031
Nam Định,562,0.0010289459711821894
Quảng Ngãi,488,0.0008934619820941431
Gia Lai,389,0.000712206375070946
Hậu Giang,373,0.0006829125395924495
Hà Tĩnh,274,0.0005016569325692525
Phú Yên,242,0.00044306926161225945
Ninh Thuận,206,0.00037715813178564235
Quảng Trị,183,0.00033504824328530364
Trà Vinh,158,0.0002892766253501529
Sóc Trăng,157,0.00028744576063274683
Cà Mau,157,0.00028744576063274683
Lào Cai,156,0.00028561489591534084
Quảng Bình,134,0.00024533587213240813
Tuyên Quang,120,0.0002197037660887237
Điện Biên,116,0.00021238030721909958
Bạc Liêu,106,0.00019407166004503927
Kon Tum,98,0.00017942474230579102
Yên Bái,95,0.00017393214815357292
Lạng Sơn,83,0.00015196177154470057
Đắk Nông,73,0.00013365312437064024
Sơn La,62,0.00011351361247917391
Cao Bằng,38,6.957285926142917e-05
Lai Châu,36,6.591112982661711e-05
Hà Giang,32,5.858767095699299e-05
Bắc Kạn,26,4.76024826525568e-05
