column,missing_count,missing_ratio
salary_avg_million_vnd,45521,0.08334279280103993
salary_max_million_vnd,45521,0.08334279280103993
salary_min_million_vnd,45521,0.08334279280103993
salary,0,0.0
id,0,0.0
job_title,0,0.0
company_name,0,0.0
experience_level,0,0.0
education_level,0,0.0
job_position,0,0.0
job_description,0,0.0
benefits,0,0.0
location,0,0.0
job_type,0,0.0
job_industry,0,0.0
location_city,0,0.0
year,0,0.0
requirements,0,0.0
location_city_is_unknown,0,0.0
salary_available,0,0.0
primary_industry,0,0.0
salary_currency,0,0.0
salary_parse_issue,0,0.0
job_title_char_len,0,0.0
job_title_word_count,0,0.0
job_description_char_len,0,0.0
job_description_word_count,0,0.0
requirements_char_len,0,0.0
requirements_word_count,0,0.0
benefits_char_len,0,0.0
benefits_word_count,0,0.0
