location,location_city
27 Phan Huy Ích Phường 15,Khác/Không rõ
Lotte center,Khác/Không rõ
1003 Nguyễn Bỉnh Khiêm,Khác/Không rõ
Ninh Điền,Khác/Không rõ
"79 ngô thời nhiệm | 88 song hành, q2",Khác/Không rõ
"Số 1 Lê Đức Thọ, P. Tân Thới Hiệp, Q. 12",Khác/Không rõ
Hồng tiến phổ yên,Khác/Không rõ
90a/13 nguyễn văn hóa,Khác/Không rõ
203 Trưng Nữ Vương,Khác/Không rõ
"196, Trung Kính",Khác/Không rõ
đường bờ sông,Khác/Không rõ
"Lầu 4, Cao ốc H3, 384 Hoàng Diệu, phường 6",Khác/Không rõ
43 Vương Thừa Vũ,Khác/Không rõ
"735 Quang Trung, Phường 12 | Kỹ thuật xây dựng và cơ sở hạ tầng",Khác/Không rõ
"87/23 Phan Văn Hớn, Khu phố 4, Phường Tân Thới Nhất | 87/23 Phan Văn Hớn, Khu phố 4, P.Tân Thới Nhất, Q.12",Khác/Không rõ
12 Trần Khánh Dư,Khác/Không rõ
Cụm CN gia phú,Khác/Không rõ
Khu công nghiệp | KCN VSIP,Khác/Không rõ
"554 Lê Quang Định, phường 1",Khác/Không rõ
"96-98 Đường 5A, Phường Bình Hưng Hòa A",Khác/Không rõ
92 Dịch Vọng Hậu,Khác/Không rõ
489 Hoàng Quốc Việt,Khác/Không rõ
"102/20 Dương Thị Giang, KP4, P.Tân Thới Nhất",Khác/Không rõ
"27/66 phố yên lạc, phường vĩnh tuy",Khác/Không rõ
"Công ty TNHH Vina Rong Hsing, Đường D1-N7 | Đường D1-N7, KCN Mỹ Phước, Bến Cát, Bình",Khác/Không rõ
"25 Đường số 7, KDC Cityland Park Hills, Phường 10 | 25 Đường số 7, KDC Cityland Park Hills",Khác/Không rõ
"Ấp thốt lốt, Ngũ Lạc",Khác/Không rõ
"136 Đường số 5, khu đô thị Lakeview city",Khác/Không rõ
Khu 1- Phường ka Long,Khác/Không rõ
753 Nguyễn Văn Linh,Khác/Không rõ
"104/83/22 HT45, PHƯỜNG HIỆP THÀNH | Đường 171",Khác/Không rõ
96 Nguyễn Huy Tưởng,Khác/Không rõ
35 Tân Mai,Khác/Không rõ
"Số 1, Lê Đức Thọ, P. Tân Thới Hiệp, | Số 1 Lê Đức Thọ, P. Tân Thới Hiệp, Q. 12",Khác/Không rõ
"Cầu Chùa Dận, phường Đinh Bảng | Chùa Dận, phường Đỉnh Bảng, thị xã Từ Sơn",Khác/Không rõ
"Cánh C Tầng 3, Tòa Nhà Trung Yên Plaza",Khác/Không rõ
Khu đô thị royal city,Khác/Không rõ
Tòa nhà VIDIC.Lô C8-C9 Khu đấu giá Yên Xá,Khác/Không rõ
"Shophouse A1.23 chung cư Ruby, Celadon City",Khác/Không rõ
"34T Hoàng Đạo Thúy, Yên Hòa",Khác/Không rõ
765 lũy bán bích,Khác/Không rõ
Lê trọng tấn | Lê lợi | Nguyễn văn đậu,Khác/Không rõ
"Đường Trần Nam Phú, An Khánh | Xuân Hồng, An Bình",Khác/Không rõ
愛知県名古屋市守山区大森5丁目2212 ハートイン大森 C号室,Khác/Không rõ
7/28 Thành Thái Phường 14,Khác/Không rõ
49S5 Tây Thạnh,Khác/Không rõ
57 đường số 14 phườn An Khánh,Khác/Không rõ
"112 TÂY LÂN, P. BÌNH TRỊ ĐÔNG A",Khác/Không rõ
"80/22 Bà Huyện Thanh Quan, P9",Khác/Không rõ
"Đường Huỳnh Thúc Kháng, Hòa Phú",Khác/Không rõ
102 Thái Thịnh,Khác/Không rõ
"Khu đô thị Geleximco, Dương Nội",Khác/Không rõ
"18 A Trần Bình Trọng | Số 18A Đường Trần Bình Trọng, Khối Yên Bình",Khác/Không rõ
805b Tạ Quang Bửu,Khác/Không rõ
"260 PHAN ĐÌNH PHÙNG, PHƯỜNG 1",Khác/Không rõ
"KCN Phố Nối A, An Lạc, Trưng Trắc | KCN Phố Nối A, An Lạc, Trưng Trắc, Văn Lâm",Khác/Không rõ
341 đường Âu Cơ,Khác/Không rõ
Đường D13 - KDC 5A - KP. Đồng Sổ,Khác/Không rõ
37 Cao Đức Lân,Khác/Không rõ
"25 đường 81, P.Tân Quy, Q.7",Khác/Không rõ
"Số 421, Phố Thương Mại - Văn phòng nhà ở Phú Lộc An Gold Town, đường Đồng Khởi, Khu 2, Hòa Phú | Thửa đất số 591, tờ bản đồ số 38, đường DT 747B, Kp Long Bình, P Khánh Bình, TP Tân Uyên, Tỉnh Bình",Khác/Không rõ
51 Nguyễn Văn Cừ,Khác/Không rõ
43-45-47 Nguyễn Thị Minh Khai,Khác/Không rõ
"The Manor Central Park, Đại Kim",Khác/Không rõ
"Đường số 17, khu Sao Mai",Khác/Không rõ
Tầng S tòa Artemis số 3 Lê Trọng Tấn,Khác/Không rõ
Nguyễn hữu cảnh,Khác/Không rõ
"64D đường Đông Minh, KP Tây A, P. Đông Hòa",Khác/Không rõ
22 Trung Kính,Khác/Không rõ
"10 đường số 1, cư xá Đô Thành, Q.3",Khác/Không rõ
"Khu phố 4, phường Tân Hiệp",Khác/Không rõ
