column,dtype,missing_count,missing_ratio
salary_avg_million_vnd,float64,45521,0.08334279280103993
salary_max_million_vnd,float64,45521,0.08334279280103993
salary_min_million_vnd,float64,45521,0.08334279280103993
benefits,str,3524,0.006451967264138853
requirements,str,3361,0.00615353631520167
job_description,str,25,4.5771617935150775e-05
job_title,str,18,3.2955564913308554e-05
job_industry,str,0,0.0
job_type,str,0,0.0
location,str,0,0.0
experience_level,str,0,0.0
job_position,str,0,0.0
salary,str,0,0.0
id,int64,0,0.0
company_name,str,0,0.0
location_city,str,0,0.0
year,int64,0,0.0
education_level,str,0,0.0
location_city_is_unknown,int64,0,0.0
salary_available,int64,0,0.0
primary_industry,str,0,0.0
salary_currency,str,0,0.0
salary_parse_issue,int64,0,0.0
job_title_char_len,int64,0,0.0
job_title_word_count,int64,0,0.0
job_description_char_len,int64,0,0.0
job_description_word_count,int64,0,0.0
requirements_char_len,int64,0,0.0
requirements_word_count,int64,0,0.0
benefits_char_len,int64,0,0.0
benefits_word_count,int64,0,0.0
