education_level_display,count,ratio,ratio_percent
Không yêu cầu/không ghi rõ,189065,0.3461524377963712,34.615243779637126
Cao đẳng,132029,0.24172723777440086,24.172723777440087
Đại học,86403,0.15819220417803329,15.81922041780333
Trung cấp,84451,0.15461835624965672,15.461835624965673
Trung học,44818,0.08205569490470349,8.20556949047035
Chứng chỉ,8296,0.015188853695600432,1.5188853695600433
Cử nhân,1048,0.0019187462238415204,0.19187462238415204
Khác,51,9.337410058770757e-05,0.009337410058770758
Kỹ sư,27,4.943334736996283e-05,0.004943334736996283
Bằng cấp liên quan,2,3.6617294348120618e-06,0.0003661729434812062
