experience_level,count,ratio,ratio_percent
3 năm,158294,0.28981489957707024,28.981489957707023
1 năm,145299,0.2660228125743789,26.602281257437888
2 năm,83977,0.15375052637360626,15.375052637360625
4 năm,75129,0.13755103535399768,13.755103535399767
5 năm,35490,0.06497738882074004,6.497738882074004
Không,17481,0.032005346124974826,3.2005346124974827
7 năm,9255,0.016944652959592816,1.6944652959592816
Dưới 1 năm,6314,0.011560079825701678,1.156007982570168
8 năm,3384,0.006195646203702008,0.6195646203702009
6 năm,2676,0.004899393983778539,0.4899393983778539
0 - 1 năm kinh nghiệm,2245,0.00411029129057654,0.411029129057654
1 - 2 năm kinh nghiệm,1308,0.0023947710503670885,0.23947710503670885
2 - 5 năm kinh nghiệm,848,0.0015525732803603142,0.15525732803603143
3 - 5 Năm,393,0.0007195298339405701,0.07195298339405701
Yêu cầu ứng viên có kinh nghiệm,287,0.0005254581738955308,0.05254581738955308
