job_position_display,count,ratio,ratio_percent
Nhân viên,430832,0.788795107929475,78.8795107929475
Chưa cập nhật,43147,0.07899631996191801,7.899631996191801
Trưởng nhóm,26253,0.04806569142606053,4.806569142606053
Trưởng phòng,17267,0.03161354107544993,3.161354107544993
Cộng tác viên,12212,0.02235851992896245,2.235851992896245
Giám đốc,8851,0.016204983613760778,1.6204983613760777
Chuyên gia,3113,0.005699481865284974,0.5699481865284974
Thực tập sinh,790,0.0014463831267507645,0.14463831267507646
Quản lý,483,0.000884307658507113,0.0884307658507113
Unknown,404,0.0007396693458320365,0.07396693458320365
Trưởng Nhóm / Giám Sát,336,0.0006151705450484264,0.061517054504842635
Sinh viên/Thực tập sinh,263,0.0004815174206777861,0.04815174206777861
Kỹ thuật viên / Kỹ sư,214,0.0003918050495248906,0.03918050495248906
Trưởng nhóm / Giám sát,208,0.0003808198612204544,0.03808198612204544
Quản lý / Trưởng phòng,195,0.00035701861989417605,0.035701861989417605
