job_type,count,ratio,ratio_percent
Toàn thời gian,503335,0.9215382925355645,92.15382925355645
Thực tập,15596,0.028554166132664458,2.855416613266446
Khác,8319,0.015230963584100771,1.5230963584100772
Bán thời gian,6496,0.011893297204269576,1.1893297204269575
Remote,5271,0.009650487925447189,0.9650487925447189
Thời vụ,2901,0.005311338545194896,0.5311338545194896
Chưa xác định,2756,0.005045863161171021,0.5045863161171021
Không,693,0.0012687892491623793,0.12687892491623792
Hợp đồng,508,0.0009300792764422637,0.09300792764422637
Theo ca,181,0.0003313865138504916,0.03313865138504916
