location_city,count,mean,median,std,min,max
TP Hồ Chí Minh,258564,13.274385219848856,11.5,7.27883690357875,1.0,180.0
Hà Nội,126874,14.215824164111638,12.5,8.211458167531623,1.0,150.0
Bình Dương,23090,13.43277609354699,12.0,6.175432651142234,1.25,115.0
Khác/Không rõ,13153,13.30721508401125,11.0,9.70251171989061,1.25,152.5
Đồng Nai,9021,13.07319587628866,12.0,5.685164532434588,1.05,115.0
Đà Nẵng,7163,12.01257085020243,10.5,7.574413372263774,1.0,115.0
Long An,6600,12.9205,12.0,5.1391476151532185,1.5,65.0
Bắc Ninh,4248,14.957132768361582,12.5,7.914760509607669,1.5,200.0
Hưng Yên,4028,13.755312810327707,12.0,6.502817889428315,1.5,150.0
Hải Phòng,3959,14.27640818388482,12.5,8.342073400031586,1.2,104.0
Thanh Hóa,2685,14.733147113594041,14.0,6.445151480812124,1.25,115.0
Cần Thơ,2684,12.07840909090909,10.5,6.8622814128863325,1.5,120.0
Tây Ninh,2642,13.938739591218773,12.5,7.056316638795616,1.25,125.0
Bà Rịa - Vũng Tàu,2157,13.599837737598516,12.5,6.132326273955498,1.5,65.0
Bình Phước,2139,13.509957924263674,12.5,6.7492913703566355,1.5,104.0
Khánh Hòa,1623,12.076494146642021,10.5,6.396571395487384,1.5,62.5
Hải Dương,1262,14.2229793977813,12.5,6.0488189445937355,1.5,47.5
Vĩnh Phúc,1218,13.441707717569786,12.5,6.238425025093425,1.5,107.1
Nghệ An,1184,13.368158783783784,12.0,7.0021515583746545,3.5,115.0
Đắk Lắk,1131,12.006808134394342,10.5,5.974597596503561,1.5,65.0
Bắc Giang,987,16.09807497467072,14.0,8.16408154833363,3.5,75.0
Bình Thuận,947,12.986800422386484,12.0,7.67147664513073,2.0,125.0
Thái Bình,926,12.944438444924405,12.0,5.964865043034276,1.5,70.0
Lâm Đồng,870,12.699080459770116,10.425,8.779291872456525,3.0,105.0
Quảng Nam,842,11.440261282660334,10.5,4.426375538437114,1.5,40.0
Hà Nam,818,14.369682151589242,12.5,8.456293283967806,1.25,125.0
Bến Tre,800,13.8935,11.5,6.91412108209875,2.5,53.5
Bình Định,761,11.930026281208935,10.5,5.699862232808138,3.0,40.0
Tiền Giang,737,11.635549525101764,10.0,5.496788044637175,2.0,55.0
Ninh Bình,728,15.076236263736265,12.5,11.620612578900019,4.0,115.0
Kiên Giang,652,12.570398773006135,11.5,6.782030302010387,1.25,107.5
Quảng Ninh,631,15.677179080824088,12.5,9.945467690628703,1.5,115.0
Hòa Bình,601,12.045424292845258,11.0,5.583707686475793,1.25,43.5
Phú Thọ,579,14.562953367875648,12.5,8.546422474361911,4.0,90.0
Huế,533,11.581144465290807,10.0,6.2227410071948475,1.5,55.0
An Giang,519,11.908188824662814,10.0,6.728430100460733,4.0,51.5
Vĩnh Long,508,12.296456692913386,10.5,7.570524256538044,3.5,105.0
Đồng Tháp,489,12.2719836400818,11.5,5.038285019146695,1.5,40.0
Thái Nguyên,454,16.08149779735683,12.5,12.351578853729864,1.5,150.0
Nam Định,452,13.522234513274336,12.0,6.768229722520552,5.0,70.0
Quảng Ngãi,386,12.100906735751295,11.0,5.871529852777588,1.5,53.0
Gia Lai,334,11.861676646706588,10.5,6.2328682827622615,4.0,62.5
Hậu Giang,331,11.986858006042297,10.5,7.469613257670749,1.5,57.5
Hà Tĩnh,243,14.383539094650205,12.5,6.488322045046944,2.5,53.0
Phú Yên,208,11.412259615384615,9.5,7.0793761283786045,2.0,53.0
Ninh Thuận,168,10.932142857142857,10.0,4.808277187559361,3.0,31.5
Quảng Trị,147,13.731292517006803,12.5,6.902084782538864,2.0,35.0
Trà Vinh,137,12.35036496350365,9.5,12.168488560064086,2.0,135.0
Sóc Trăng,131,12.639312977099237,11.5,6.074312267604353,3.75,52.5
Cà Mau,127,12.190944881889763,10.0,6.880604259302257,2.5,53.0
Lào Cai,121,16.952479338842974,13.0,9.702518683396228,3.5,40.0
Quảng Bình,100,15.327,12.5,11.883067530709143,6.0,78.25
Điện Biên,100,13.140999999999998,12.0,7.242636037222687,1.5,51.0
Tuyên Quang,84,14.06547619047619,12.5,5.882780549997278,6.0,36.5
Bạc Liêu,73,12.013698630136986,10.5,6.383965701237862,1.75,40.0
Kon Tum,69,14.142753623188407,11.5,8.724851571981707,4.0,53.5
Yên Bái,67,12.176865671641792,11.0,5.218813057018496,6.0,35.0
Đắk Nông,62,13.43467741935484,12.5,5.483862979043547,5.0,35.0
Lạng Sơn,60,15.166666666666666,14.0,8.247966707150306,3.0,60.0
Sơn La,48,13.192708333333334,11.25,6.0159892412984295,6.5,32.5
Cao Bằng,30,16.783333333333335,14.0,6.826271933181912,8.5,35.0
Lai Châu,26,15.096153846153847,14.5,5.610738330682034,6.0,25.0
Hà Giang,15,18.266666666666666,15.5,7.328678176146352,10.0,35.0
Bắc Kạn,14,14.0,15.0,5.0115251785643675,4.0,22.5
