primary_industry,count,mean,median,std,min,max
Y tế / Chăm sóc sức khỏe / Thẩm mỹ / Làm đẹp,1,55.0,55.0,,55.0,55.0
Vận chuyển / Giao nhận / Kho vận,1,35.0,35.0,,35.0,35.0
Quản lý điều hành,15,41.766666666666666,26.5,36.15584652715572,7.0,125.0
Công nghệ Thông tin,168,25.699404761904763,25.0,17.114193769677986,3.0,100.0
Bảo hiểm,3,21.666666666666668,25.0,10.408329997330663,10.0,30.0
UI/UX Designer,1,25.0,25.0,,25.0,25.0
IT phần mềm,806,26.718238213399506,24.0,17.898572304987027,1.5,180.0
Sinh viên làm thêm,1,24.0,24.0,,24.0,24.0
Pháp luật/ Pháp lý,12,21.833333333333332,23.5,9.60665804470414,6.0,32.5
Ngân hàng/ Tài Chính,53,24.211320754716983,23.0,11.191062030741637,1.2,60.0
Nông nghiệp / Lâm nghiệp,145,17.910344827586208,22.5,6.444654590971875,5.0,35.0
Việc làm cấp cao,65,30.303076923076922,22.5,18.540521240909474,4.0,80.0
Bán lẻ/ Bán sỉ/ Thương mại,7,20.285714285714285,22.5,9.393513466115607,9.0,30.0
Khác,1,22.5,22.5,,22.5,22.5
Sáng tạo: có nhiều ý tưởng,1,22.5,22.5,,22.5,22.5
Tiếng Nhật,5,19.47,22.35,5.603971805782039,10.5,24.0
Trắc Địa / Địa Chất,3,19.833333333333332,21.5,2.886751345948129,16.5,21.5
Công nghiệp,37,21.194594594594594,20.0,10.699998596727477,7.0,50.0
Làm đẹp/ Thể lực/ Spa,18,21.805555555555557,20.0,10.351383665522675,6.0,45.0
Pháp lý / Luật,7,17.0,20.0,4.518480570575321,10.5,22.0
Điện tử viễn thông,3,20.833333333333332,20.0,8.779711460710615,12.5,30.0
Kinh doanh,1,20.0,20.0,,20.0,20.0
Ô tô,1,20.0,20.0,,20.0,20.0
Phát triển thị trường,265,22.110188679245283,19.5,15.980631327196697,1.0,105.0
An toàn lao động,6,19.5,19.5,6.1155539405682635,12.0,27.5
Kỹ thuật ứng dụng,10,20.2,19.25,10.538817137927134,6.0,45.0
CNTT - Phần mềm,21,20.02857142857143,19.0,7.508804356030517,7.1,35.0
Môi trường,11,17.681818181818183,18.5,2.9603439603593977,12.0,20.0
Công nghệ thông tin,1028,21.825875486381324,17.5,13.591062262732326,3.0,100.0
Nhân viên kinh doanh,884,22.41306561085973,17.5,18.61182683311625,1.0,160.0
Bán hàng / Kinh doanh,312,16.432692307692307,17.5,7.478479636927591,2.0,93.0
Kinh doanh/Bán hàng,115,22.569565217391304,17.5,13.315649504967094,4.0,75.0
Kiến trúc - Thiết kế nội thất,109,22.853211009174313,17.5,15.371827096921672,2.0,80.0
Quan hệ đối ngoại,73,20.171232876712327,17.5,10.248380352416328,3.0,57.5
Du lịch,17,20.647058823529413,17.5,10.29679061935434,8.0,47.5
Thời trang,13,19.942307692307693,17.5,13.473026233828682,9.5,60.0
Hoạch định - Dự án,12,16.583333333333332,17.5,3.9128769544423525,10.5,22.5
IT phần cứng/mạng,7,21.857142857142858,17.5,10.253919111386491,12.0,40.0
Bảo trì / Sửa chữa,1,17.5,17.5,,17.5,17.5
CNTT - Phần cứng / Mạng,1,17.5,17.5,,17.5,17.5
Điện/Điện tử/Viễn thông,1,17.5,17.5,,17.5,17.5
Đầu tư,18,21.841666666666665,17.075,17.37175064834386,3.0,75.0
QA-QC/ Thẩm định/ Giám định,126,18.403968253968255,17.0,17.591035902611996,2.2,200.0
Tổ chức sự kiện - Quà tặng,11,17.836363636363636,17.0,7.0565250268489415,7.0,30.0
Bảo vệ/ An ninh/ Vệ sỹ,4,16.325,16.75,4.815513125998792,10.3,21.5
Ngân hàng / Tài chính - Đầu tư - Chứng Khoán,8427,16.931986472054113,16.5,7.310812833083419,1.25,115.0
Khu chế xuất/Khu công nghiệp,1,16.5,16.5,,16.5,16.5
Bất động sản,9227,21.674585455727755,16.0,17.935311296904278,1.05,132.5
Quản lý dự án,2752,18.536500726744183,16.0,9.505679222339001,1.5,112.5
Thư ký - Trợ lý,207,17.43429951690821,16.0,9.887280117577653,1.5,55.0
Hành chính - Văn phòng,103,19.45631067961165,16.0,12.977232475611329,2.5,100.0
Điện / Điện tử,27,16.796296296296298,16.0,4.183896001932381,10.0,25.0
Ngành nghề khác,2,16.0,16.0,0.0,16.0,16.0
Hóa học - Sinh học,6,18.166666666666668,15.5,7.626707459098367,12.0,32.5
Dịch vụ,1,15.5,15.5,,15.5,15.5
Biên tập/ Báo chí/ Truyền hình,2,15.25,15.25,2.4748737341529163,13.5,17.0
Marketing - PR,563,17.876731793960925,15.0,13.631923634207423,1.5,150.0
Thiết kế - Mỹ thuật,337,15.841988130563799,15.0,8.176706056134716,1.2,105.0
Kế toán - Kiểm toán,335,15.994776119402985,15.0,9.339309646076432,1.0,67.5
Điện - Điện tử - Điện lạnh,126,16.595238095238095,15.0,7.95102868457014,1.5,45.0
