location_city,count,ratio,ratio_percent
TP Hồ Chí Minh,285382,0.522495834782768,52.2495834782768
Hà Nội,141002,0.2581555868836852,25.81555868836852
Bình Dương,25368,0.04644537615115619,4.644537615115619
Khác/Không rõ,13455,0.024634284772698144,2.4634284772698143
Đồng Nai,10150,0.018583276881671214,1.8583276881671213
Đà Nẵng,8277,0.015154067265969717,1.5154067265969717
Long An,7148,0.013087021000018309,1.3087021000018308
Bắc Ninh,4823,0.008830260532049286,0.8830260532049286
Hải Phòng,4542,0.008315787546458193,0.8315787546458193
Hưng Yên,4451,0.008149178857174243,0.8149178857174243
Cần Thơ,2977,0.005450484263717754,0.5450484263717753
Thanh Hóa,2940,0.0053827422691737304,0.538274226917373
Tây Ninh,2871,0.0052564126036727145,0.5256412603672714
Bà Rịa - Vũng Tàu,2645,0.004842637177538952,0.48426371775389515
Bình Phước,2271,0.004157893773229096,0.41578937732290966
