primary_industry,count,mean,median,std,min,max
Công nghệ thông tin,1028,21.825875486381324,17.5,13.591062262732326,3.0,100.0
Ngân hàng / Tài chính - Đầu tư - Chứng Khoán,8427,16.931986472054113,16.5,7.310812833083419,1.25,115.0
Bất động sản,9227,21.674585455727755,16.0,17.935311296904278,1.05,132.5
Quản lý dự án,2752,18.536500726744183,16.0,9.505679222339001,1.5,112.5
Xây dựng,24697,15.387051058833057,14.5,5.778872417065737,1.5,149.5
Luật - Pháp Lý - Tuân thủ,4478,16.06345466726217,14.5,7.389391545040662,1.05,115.0
IT Phần mềm,4301,16.151278772378515,13.5,10.066103758455336,1.05,150.0
Kiến trúc - Thiết kế nội ngoại thất,4395,14.03602957906712,13.0,4.78464611703049,1.5,75.0
Bán hàng - Kinh doanh,48230,14.399389384128137,12.5,7.8421097166134635,1.25,155.0
Cơ khí - Ô tô - Tự động hóa / Sản xuất - Lắp ráp - Chế biến,21996,14.139866339334425,12.5,6.424759259249034,1.05,152.5
Khoa học - Kỹ thuật,19208,13.571282798807788,12.5,5.597325552887023,1.5,130.0
Giáo dục - Đào tạo / Biên phiên dịch,16420,13.966735688185139,12.5,6.136758423520528,1.25,135.0
Dược phẩm / Y tế - Chăm sóc sức khỏe,13390,14.8808215085885,12.5,7.69372863444642,1.5,150.0
Điện - Điện tử - Điện lạnh / Vận hành - Bảo trì - Bảo dưỡng,13382,13.595635928672843,12.5,5.167207998515564,1.05,100.0
Tài chính - Đầu tư - Chứng Khoán,8568,13.584640522875816,12.5,7.356263356008394,1.5,115.0
