primary_industry,count,ratio,ratio_percent
Bán hàng - Kinh doanh,52977,0.0969937201340193,9.69937201340193
Chăm sóc khách hàng,50531,0.09251542503524414,9.251542503524414
Kế toán / Kiểm toán,45469,0.08324758783573481,8.32475878357348
Xây dựng,27020,0.04946996466431095,4.946996466431095
Chưa xác định,23057,0.04221424778923085,4.221424778923085
Cơ khí - Ô tô - Tự động hóa / Sản xuất - Lắp ráp - Chế biến,22371,0.040958274593090316,4.095827459309032
Khoa học - Kỹ thuật,21595,0.039537523572383236,3.9537523572383235
Lao động phổ thông,21068,0.038572657866310256,3.8572657866310256
Nghề nghiệp khác,20985,0.03842069609476556,3.842069609476556
Giáo dục - Đào tạo / Biên phiên dịch,16638,0.030461927168201543,3.0461927168201544
Marketing,14569,0.026673868067888462,2.667386806788846
Giáo dục - Đào tạo / Chăm sóc khách hàng,14158,0.025921382669034584,2.5921382669034583
Dược phẩm / Y tế - Chăm sóc sức khỏe,13687,0.025059045387136346,2.5059045387136347
Điện - Điện tử - Điện lạnh / Vận hành - Bảo trì - Bảo dưỡng,13583,0.024868635456526116,2.4868635456526116
Vận hành - Bảo trì - Bảo dưỡng,13512,0.02473864406159029,2.473864406159029
